# runid surfdens  velocitydispersion radius
A		2.0e-4		5.0		180
B		7.4e-4		6.9		95
X		3.3e-3		9.6		45
D		3.3e-4		3.0		45
E		1.5e-3		4.6		21
F		6.7e-3		6.7		10
I		6.7e-4		2.1		10
J		2.7e-3		3.0		5
UZ		3.3e-3		18.2		45
UB		9.9e-4		10.0		45
UC		4.5e-3		14.6		21
UU		6.7e-3		12.2		10
UV		1.5e-3		8.4		21
UF		2.0e-3		6.7		10
UP		1.1e-2		7.6		2.5
UQ		2.7e-3		5.4		5

